NETWORK ID     NAME                             DRIVER    SCOPE
16d605d563ea   bridge                           bridge    local
0aa01f18b8df   daloradius_default               bridge    local
0af0890cbfd2   host                             host      local
3d5dcc1769f0   jaws_default                     bridge    local
aa716ef05381   jenkins-data_net                 bridge    local
630c5d4ccac6   kafka-baeldung_default           bridge    local
4591e9e38146   minikube                         bridge    local
18c0d61cfa1e   none                             null      local
597d17004680   rhdp-terraform-backend_default   bridge    local
3d1ac0fcc3a4   student-code_net                 bridge    local
